iata,icao,airline
,AHP,Aerochiapas
HT,AHW,Aeromist-Kharkiv
J2,AHY,Azerbaijan Airlines
U3,AIA,Avies
4Y,AIB,Airbus Industrie
KJ,AIH,Air Incheon
RS,ASV,Air Seoul
,AIK,African Airlines International Limited
,AIN,African International Airways
5A,AIP,Alpine Air Express
,AIU,Alicante Internacional Airlines
PA,ABQ,Airblue
,THM,Airmark Aviation
,AIR,Airlift International
,AIT,Airest
,AIV,Airvias S/A Linhas Aéreas
W4,BES,Aero Services Executive
,AIW,Atlantic Island Airways
,AIX,Aircruising Australia
,AIY,Aircrew Check and Training Australia
IZ,AIZ,Arkia Israel Airlines
,AJA,Afghan Jet International Airlines
,AJB,Aero JBR
,AJE,Aero Jet Express
,AJI,Ameristar Jet Charter
,AJK,Allied Air
,AJO,Aero Ejecutivo
,AJS,Aeroejecutivos Colombia
M6,AJT,Amerijet International
,AJV,ANA & JP Express
,AJW,Alpha Jet International
,AJY,AJet
,AKB,Aktjubavia
,AKC,Arca Aerovías Colombianas Ltda.
,AKF,Anikay Air Company
,AKH,Akhal
,MNI,Aeromilenio
,AKK,Aklak Air
4A,AKL,Air Kiribati
,AKN,Alkan Air
,AKW,Angkor Airways
,AKZ,AK Navigator LLC
,ALB,Aero Albatros
,ALD,Albion Aviation
,ALE,Aeroalas Colombia
,ALF,Allied Command Europe (Mobile Force)
,FYS,American Flyers
,DFA,Aero Coach Aviation
EV,ASQ,Atlantic Southeast Airlines
,ALG,Air Logistics
,ALL,Aerovallarta
HP,AWE,America West Airlines
6R,TNO,Aerotransporte de Carga Union
,TND,Aero Taxis Cessna
,TMP,Arizona Express Airlines
,ALO,Allegheny Commuter Airlines
,ALP,Allpoints Jet
,ALQ,Altair Aviation (1986)
VH,ALV,Aeropostal Alas de Venezuela
,ALW,"Alas Nacionales, S.A."
,ALY,Alyeska Air Service
,ALZ,Alta Flights (Charters) Ltd.
,AMA,ATMA
,AMD,Aerolíneas Medellín
,AMF,Ameriflight
,AMH,Alan Mann Helicopters Ltd.
,AMJ,Aviation Amos
,AMK,Amerer Air
,AMM,Aeroputul International Marculesti
,AMP,Aero Transporte S.A. (ATSA)
,AMQ,Aeromedicare Ltd.
TZ,AMT,ATA Airlines
YJ,AMV,AMC Airlines
AM,AMX,Aeroméxico
,AMZ,Amiya Airline
,ANC,Anglo Cargo
,BRP,AeroBratsk
,ANH,Alajnihah for Air Transport
,ANM,Aerotransportacion de Norteamerica
TL,ANO,Airnorth
,ANQ,Aerolínea de Antioquia
OY,ANS,Andes Líneas Aéreas
IW,AOM,AOM French Airlines
,ANW,"Aviación Del Noroeste, S.A. de C.V."
,SAP,Avia Jaynar
,EMS,Aero Servicios Empresariales
,AOA,"Alcon Servicios Aéreos, S.A. de C.V."
J6,AOC,AVCOM
,AOD,Aero Vodochody
,AOF,Atair Pty Ltd.
2D,AOG,Aero VIP
,MUN,Aeromundo Ejecutivo
,MUR,Aerolínea Muri
,AOI,"Astoria, Inc."
,NRO,Aero Rent JSC
,NRP,Aeronord-Grup
,AOK,Aeroatlantico Colombia
,AOL,Angkor Airlines
,AON,Aero Entreprise
,AOO,"As, Opened Joint Stock Company"
,AOP,Aeropiloto
VB,VIV,Aeroenlaces Nacionales
,VIZ,Aerovis Airlines
,VJE,AvJet Routing
,VGF,Aerovista Gulf Express
,VER,Almaver
,AOR,Afro International Ent. Limited
,SMX,Alitalia Express
OE,AOT,Asia Overnight Express
,AOV,Aero Vision
,AOX,Aerotaxi Del Valle
,APC,"Airpac Airlines, Inc."
,SVM,Aeroservicios Monterrey
,APF,Amapola Flyg AB
,APH,"Alpha Aviation, Inc."
,API,"ASA Pesada, Lda."
,APJ,Peach Aviation
,PET,Aerotransporte Petrolero
GV,ARF,Aero Flight
,BKL,Aircompany Barcol
,BLA,All Charter Limited
,APL,"Appalachian Flying Service, Inc."
,APM,"Airpac, Inc."
,APO,Aeropro
,APP,AlpAvia d.o.o.
,APQ,Aspen Aviation
,APU,"Aeropuma, S.A."
JW,APW,Arrow Air
,APX,Apex Air Cargo
,APY,APA Internacional
,AQA,"Aeroatlas, S.A."
,AQL,Aquila Air Ltd.
,AQO,Aluminum Company Of America
,AQT,Avioquintana
,AQU,AirQuarius Aviation
,AQZ,Aerodyne Charter Company
,ARA,Arik Air
,ARB,Avia Air N.V.
4C,ARE,"Aires, Aerovías de Integración Regional, S.A."
AR,ARG,Aerolíneas Argentinas
,ARI,Aero Vics
,SUN,Antillana De Navegación Aérea
,SUO,Aeroservicios De San Luis
,ARK,Aero Link Air Services S.L.
,ARL,Airlec - Air Aquitaine Transport
,ARM,Aeromarket Express
,KLD,Air Klaipėda
,ARQ,"Armstrong Air, Inc."
,ARS,Aeromet Servicios
,ART,Aerotal Aerolíneas Territoriales de Colombia Ltda.
,ARV,Aravco Ltd.
,ARW,Aria
,OST,Airline Alania
,HUC,Aerolíneas de Techuacán
,HUT,Aerotransportes Huitzilin
,HUY,Aero Transportes Del Humaya
,ARY,Argosy Airways
AS,ASA,"Alaska Airlines, Inc."
PL,ASE,Airstars
,ASG,African Star Airways (PTY) Ltd.
,ASI,"Aerosun International, Inc."
,ASM,Awesome Flight Services (PTY) Ltd.
,ASO,Aero Slovakia
,ASP,Airsprint
,AST,Aerolíneas Del Oeste
,WAP,Arrow Panama
OB,ASZ,Astrakhan Airlines
,ATB,Atlantair Ltd.
,ATD,Aerotours Dominicana
,ATE,"Atlantis Transportation Services, Ltd."
,ATG,Aerotranscargo[citation needed]
HC,ATI,Aero-Tropics Air Services
,ATK,AeroTACA
,ATL,Atlas Air Service AG
FO,ATM,Par Avion
,CPV,Air Corporate
,ATP,ASTRAL Colombia - Aerotransportes Especiales Ltda.
,FEO,Aeroferinco
,FES,Aero Taxis Y Servicios Alfe
,FFA,Avialesookhrana
,FFB,Africair Service
,ATR,Atlas Airlines
,ATT,Aer Turas
,ATU,Atlant Aerobatics Ltd.
,ATV,Avanti Air
OS,AUA,Austrian Airlines
IQ,AUB,Augsburg Airways
,TUP,Aviastar-Tu
RU,ABW,AirBridge Cargo
,TUR,ATUR
,TXU,ATESA Aerotaxis Ecuatorianos
,TXX,Austin Express
,AUD,"Audi Air, Inc."
,AUF,Augusta Air Luftfahrtunternehmen
,AUM,Air Atlantic Uruguay
,AUN,Aviones Unidos
,AUP,Avia Business Group
,SVE,Aero Servicios Expecializados
GR,AUR,Aurigny Air Services
NO,AUS,Aus-Air
AU,AUT,Austral Líneas Aéreas
,AUU,"Aurora Aviation, Inc."
,AUY,"Aerolíneas Uruguayas, S.A."
